0.2,0.124031008,0.157608696,0.17947264,0.357142857,0.333333333,0.5
0.4,0.297157623,0.168478261,0.543521406,0.720238095,0.75,0.5
1,0.857881137,0.782608696,0.796427559,0.267857143,0.166666667,0
0.2,0.103359173,0.255434783,0.220584066,0.446428571,0.333333333,1
1,0.728682171,0.429347826,0.648426425,0.55952381,0.75,0
0.2,0.139534884,0.211956522,0.197618373,0.625,0.25,0
0.6,0.405684755,0.293478261,0.515168699,0.547619048,0.666666667,0
0.2,0.059431525,0.114130435,0.099801531,0.416666667,1,1
1,0.728682171,0.72826087,0.818259144,0.267857143,0.25,0
1,0.932816537,0.880434783,0.856251772,0.178571429,0.166666667,0
0.2,0.11369509,0.22826087,0.291182308,0.630952381,1,0
